SPECIES_GROUP,LENGTH,RANGE,ERROR,HX,HY,HZ
Adult_pollock,,439.69,0.668262719,-95.7547695,429.1307398,-2.046982643
Adult_pollock,,244.22,0.270094565,33.0788879,230.0591832,-74.99010028
Adult_pollock,,266.44,0.899597917,3.942884249,256.4293296,-72.25470232
Adult_pollock,,376.15,1.256478157,76.3601407,352.1578797,107.9002072
Adult_pollock,,447.24,0.471963257,7.181114051,430.4492512,121.1774376
Adult_pollock,,465.45,7.701817829,-4.153886837,446.0164689,133.0339412
Adult_pollock,,320.98,0.744066887,-16.51509131,310.1848537,-80.87296379
Adult_pollock,,329,1.180855523,-12.62277366,316.6671027,-88.35330252
Adult_pollock,,287.17,0.750097405,5.582366893,278.65003,-69.2163634
Adult_pollock,19.68,273.96,0.849856269,63.04880817,248.8531432,-51.35791094
Adult_pollock,,272.42,1.638804759,22.15757224,257.9006706,-84.90553204
Adult_pollock,16.4,267.29,0.9884459,2.740470492,258.1257255,-63.95964975
Adult_pollock,,276.01,0.82685164,-14.49460021,263.8050969,-79.86430475
Adult_pollock,,301.25,2.316861585,-30.76491263,285.58428,-90.7974973
Adult_pollock,,193.06,9.562293759,-17.14537265,181.7426971,-62.84433647
Adult_pollock,,230.56,9.677927405,-75.23486261,206.7622582,68.90444547
Adult_pollock,,229.88,2.032109808,-73.89028548,216.2848461,24.56961787
Adult_pollock,,128.1,12.09704981,54.90637864,115.7035465,2.61651487
Adult_pollock,,120.74,13.70115239,50.65484504,108.813948,-13.06702044
Adult_pollock,,162.67,0.17926472,-18.05693654,160.6267236,18.28397029
Adult_pollock,,136.27,6.437161596,58.499275,121.668767,-18.56463135
Adult_pollock,,159.34,5.831669788,-38.8353703,151.4226265,-30.86237917
Adult_pollock,,148.01,4.048780019,51.20648343,132.6654147,-41.04553632
Adult_pollock,,317.92,0.537256102,-60.14699424,310.9738367,27.35404291
Adult_pollock,,328.38,1.165331329,-55.69342603,323.5551141,-6.575353021
Adult_pollock,,169.67,2.841863949,32.61420663,159.6973646,47.13675572
Adult_pollock,18,193.21,0.567189385,39.11988079,180.2469157,54.50204613
Adult_pollock,,213.26,2.057392816,-4.799512117,201.3044578,70.22509963
Adult_pollock,,190.22,2.758847529,-43.44353638,184.6123469,14.64336242
Adult_pollock,18.99,198.96,0.504878318,-33.02863419,190.9953378,4.812913225
Adult_pollock,,198.61,0.659617646,-38.24526734,194.8515079,4.156839222
Adult_pollock,,208.27,0.190745682,-50.32014959,200.9458888,21.60655566
Adult_pollock,,223.2,1.186024337,-59.74682595,212.494451,33.08880489
Adult_pollock,24.53,249.8,1.111215292,-86.55412833,223.6617045,12.33843721
Adult_pollock,,301.65,0.532929858,29.59164871,297.7405889,38.33210998
Adult_pollock,18.23,281.48,0.408123777,-69.93911368,260.1231776,-17.54618447
Adult_pollock,,279.76,2.359964545,-56.28252818,266.1337024,-65.36361863
Adult_pollock,,294.96,1.105235315,-79.30315361,278.3246835,-56.98001929
Adult_pollock,,308.72,1.980493096,-69.55543693,295.2428036,-57.45775504
Adult_pollock,,316.51,0.769351037,-50.87347202,305.7582302,-64.03539936
Adult_pollock,,318.78,2.361445505,-76.75080381,305.036495,51.79602565
Adult_pollock,,391.83,0.747234483,-125.6503735,367.9545265,48.46596284
Adult_pollock,,406.96,1.18630368,-56.74315103,394.6569238,81.48950771
Adult_pollock,,249.02,1.181117308,11.41590303,246.1758686,-35.78352072
Adult_pollock,,372.32,0.149243955,67.44380403,356.5018487,83.56441242
Adult_pollock,25.32,260.24,1.25816494,19.02564921,251.9142773,-9.150317631
Adult_pollock,,188.01,0.875238179,-49.04449454,180.2410495,-21.3432814
Adult_pollock,,279.82,1.121723978,-92.2034476,259.5201954,-49.4556219
Adult_pollock,22.85,201.95,0.618466316,79.57911743,160.3223709,-21.84476343
Adult_pollock,16.41,205.93,1.202009168,-39.67884401,200.1894006,21.03276316
Adult_pollock,,258.56,0.167837931,2.763478019,256.4639491,32.74170059
Adult_pollock,,281.78,0.992729255,-81.41148476,269.7518,-2.460945665
Adult_pollock,,174.23,0.695620665,41.94216803,165.1377141,-36.39910635
Adult_pollock,,240.55,1.50035261,-41.97552624,226.5700247,-69.05326422
Adult_pollock,,135.8,2.047553708,19.67708489,127.7271904,41.72154985
Adult_pollock,18.54,249,0.648735,5.011712692,242.6559933,25.27679109
Adult_pollock,,167.01,1.148238256,52.88391191,158.282,6.49617661
Adult_pollock,,230.15,2.637174801,64.54415256,213.1124859,58.20440035
Adult_pollock,,274.45,1.515158768,-50.05249111,269.8320151,-2.441826884
Adult_pollock,,292.89,4.722879191,-57.79372808,287.0601709,-6.567640526
Adult_pollock,,216.02,0.516447727,60.16955485,202.5989901,44.68820946
Adult_pollock,21.4,173.88,0.428649244,13.60095402,172.96326,-25.28144105
Adult_pollock,,310.53,1.922752027,-33.45040595,308.4953013,-11.82648944
Adult_pollock,,149.16,0.324673279,8.328950185,147.654698,19.42872657
Adult_pollock,22.54,166.09,1.474863968,22.27852995,161.6277183,32.98116495
Adult_pollock,,239.79,4.714359896,-11.45130782,237.2833828,32.65076843
Adult_pollock,21.43,180.91,0.693026246,-9.979835707,181.7166904,-21.34611323
Adult_pollock,,324.11,0.932695734,-70.80194718,310.3987163,-60.74077086
Adult_pollock,,349.96,5.975692778,-4.986785478,349.7345181,11.40585202
Adult_pollock,,207.94,6.694016007,73.13825234,184.7871035,61.19078916
Adult_pollock,,157.88,18.74615518,67.31325791,141.6842791,17.86383711
