deployment_id,range,dist_cov
Day 4:101:H2CC07T101,185.67,3.60296312665784
Day 4:101:H2CC07T101,221.15,3.60296312665784
Day 4:101:H2CC07T101,146.67,3.60296312665784
Day 4:101:H2CC07T101,188.96,3.60296312665784
Day 4:101:H2CC07T101,215.25,3.60296312665784
Day 4:101:H2CC07T101,165.06,3.60296312665784
Day 4:101:H2CC07T101,193.95,3.60296312665784
Day 4:101:H2CC07T101,259.96,3.60296312665784
Day 4:101:H2CC07T101,170.52,3.60296312665784
Day 4:101:H2CC07T101,233.39,3.60296312665784
Day 4:101:H2CC07T101,226.78,3.60296312665784
Day 4:101:H2CC07T101,279.26,3.60296312665784
Day 4:101:H2CC07T101,401.39,3.60296312665784
Day 4:101:H2CC07T101,208.5,3.60296312665784
Day 4:101:H2CC07T101,265.14,3.60296312665784
Day 4:101:H2CC07T101,200.7,3.60296312665784
Day 4:101:H2CC07T101,384.48,3.60296312665784
Day 4:101:H2CC07T101,164.99,3.60296312665784
Day 4:101:H2CC07T101,594.19,3.60296312665784
Day 4:101:H2CC07T101,192.35,3.60296312665784
Day 4:101:H2CC07T101,225.82,3.60296312665784
Day 4:101:H2CC07T101,421.35,3.60296312665784
Day 4:101:H2CC07T101,238.2,3.60296312665784
Day 4:101:H2CC07T101,165.86,3.60296312665784
Day 4:101:H2CC07T101,362.2,3.60296312665784
Day 4:101:H2CC07T101,170.99,3.60296312665784
Day 4:101:H2CC07T101,142.07,3.60296312665784
Day 4:101:H2CC07T101,415.39,3.60296312665784
Day 4:103:H2CC09T103,465.45,3.48401264477667
Day 4:103:H2CC09T103,193.74,3.48401264477667
Day 4:103:H2CC09T103,390.7,3.48401264477667
Day 4:103:H2CC09T103,201.92,3.48401264477667
Day 4:103:H2CC09T103,343,3.48401264477667
Day 4:103:H2CC09T103,208.8,3.48401264477667
Day 4:103:H2CC09T103,387.05,3.48401264477667
Day 4:103:H2CC09T103,350.8,3.48401264477667
Day 4:103:H2CC09T103,375.99,3.48401264477667
Day 4:103:H2CC09T103,379.48,3.48401264477667
Day 4:103:H2CC09T103,385.84,3.48401264477667
Day 4:103:H2CC09T103,385.04,3.48401264477667
Day 4:103:H2CC09T103,354.61,3.48401264477667
Day 4:103:H2CC09T103,364.3,3.48401264477667
Day 4:103:H2CC09T103,362.07,3.48401264477667
Day 4:103:H2CC09T103,219.73,3.48401264477667
Day 4:103:H2CC09T103,221.86,3.48401264477667
Day 4:103:H2CC09T103,484.27,3.48401264477667
Day 4:103:H2CC09T103,330.51,3.48401264477667
Day 4:103:H2CC09T103,352.47,3.48401264477667
Day 4:103:H2CC09T103,333.86,3.48401264477667
Day 4:103:H2CC09T103,431.29,3.48401264477667
Day 4:103:H2CC09T103,350.89,3.48401264477667
Day 4:103:H2CC09T103,202.55,3.48401264477667
Day 4:103:H2CC09T103,335.93,3.48401264477667
Day 4:103:H2CC09T103,203.57,3.48401264477667
Day 4:103:H2CC09T103,335.36,3.48401264477667
Day 4:103:H2CC09T103,368.35,3.48401264477667
Day 4:103:H2CC09T103,201.77,3.48401264477667
Day 4:103:H2CC09T103,310.18,3.48401264477667
Day 4:103:H2CC09T103,201.43,3.48401264477667
Day 4:103:H2CC09T103,313.15,3.48401264477667
Day 4:103:H2CC09T103,339.28,3.48401264477667
Day 4:103:H2CC09T103,205,3.48401264477667
Day 4:103:H2CC09T103,314.06,3.48401264477667
Day 4:103:H2CC09T103,336.35,3.48401264477667
Day 4:103:H2CC09T103,203.43,3.48401264477667
Day 4:103:H2CC09T103,310.03,3.48401264477667
Day 4:103:H2CC09T103,204.51,3.48401264477667
Day 4:103:H2CC09T103,314.04,3.48401264477667
Day 4:103:H2CC09T103,363.4,3.48401264477667
Day 4:103:H2CC09T103,207.36,3.48401264477667
Day 4:103:H2CC09T103,319.1,3.48401264477667
Day 4:103:H2CC09T103,397.74,3.48401264477667
Day 4:103:H2CC09T103,308.06,3.48401264477667
Day 4:103:H2CC09T103,281.96,3.48401264477667
Day 4:103:H2CC09T103,353.94,3.48401264477667
Day 4:103:H2CC09T103,304.62,3.48401264477667
Day 4:103:H2CC09T103,306.8,3.48401264477667
