FRAME_NUMBER,SPECIES_GROUP,LENGTH,RANGE,HX,HY,HZ
1491,Adult_pollock,,390.4,-47.45450203,387.4940864,2.864239798
1492,Adult_pollock,,379.57,-7.521600162,379.0107873,-19.210501
1493,Adult_pollock,,368.5,22.24674689,367.2935716,-19.89408605
1494,Adult_pollock,,353.67,34.21279044,351.9437456,-6.687346676
1495,Adult_pollock,,347.6,67.60554782,340.9494185,-3.312014291
1496,Adult_pollock,,340.48,94.7186009,326.8989519,-9.423084081
1497,other_fish,,339.04,121.0226932,315.1816257,-30.97833106
1501,Adult_pollock,,332.94,118.2100372,309.9695985,28.18339239
1502,Adult_pollock,,349.31,85.96506614,338.2266594,15.2313862
1503,other_fish,,359.02,59.9402123,353.9497132,4.824972477
1504,other_fish,,366.14,41.91979024,363.5126,-12.56337051
1505,Adult_pollock,,376.63,26.76344021,375.2559421,-17.87758656
1506,Adult_pollock,,377.08,14.59061947,376.5102945,-14.62817591
1507,Adult_pollock,,381.73,13.59401584,381.2029518,-14.81270529
1508,Adult_pollock,,388.91,24.6763716,386.4506312,-36.00638346
1509,Adult_pollock,,397.49,48.61034191,389.6146361,-61.95019708
1510,other_fish,,396,77.22228325,386.0401577,-42.73439902
1511,other_fish,,412.66,127.422441,392.3786273,-9.655573092
1512,other_fish,,442.99,152.7642837,414.8130006,-28.88421797
1606,other_fish,,375.2,139.4373787,341.7695839,-67.25748475
1607,Adult_pollock,,374.52,103.0371822,358.7834766,-30.34081634
1608,Adult_pollock,20.74,379.46,52.87741712,366.2537731,-65.84445314
1609,Adult_pollock,,385.33,23.15104066,370.0620948,-104.8531549
1610,other_fish,,394.4,-3.972271606,374.2467153,-124.3948078
1611,Adult_pollock,,381.69,-49.75696158,364.7905948,-100.70403
1612,Adult_pollock,,365.94,-107.0884499,347.6283734,-40.00603716
1612,other_fish,,318.72,-12.43174563,307.2379053,-83.84894358
1613,other_fish,,337.57,-66.88890332,313.4133394,-106.0731641
1654,Adult_pollock,,59.66,21.13336084,53.39330292,-16.1660879
1662,Adult_pollock,,206.4,85.25979731,185.4396901,-30.71935297
1663,Adult_pollock,17.79,233.62,-11.3674836,227.1757256,-64.67530241
1664,Adult_pollock,,276.14,-55.67826463,260.1261393,-74.06457142
1846,Adult_pollock,,378.93,118.2241903,354.2269491,-64.3115546
1847,Adult_pollock,,383.37,84.52228682,365.0205562,-81.1706838
1848,Adult_pollock,,374.44,50.48526687,354.2103116,-110.4153077
1849,Adult_pollock,,369.3,20.06072299,353.924545,-103.5366468
1851,Adult_pollock,,321.58,31.55692607,311.914895,-71.61153844
1852,Adult_pollock,19.99,336.43,51.24912845,312.0694679,-108.4527234
1955,Adult_pollock,,439.69,-95.7547695,429.1307398,-2.046982643
1955,other_fish,,414.83,15.3844605,401.8645527,-101.7479648
1956,other_fish,,442.26,-122.0962397,424.7896622,15.57862899
1956,other_fish,,444.23,-17.63111707,433.0399193,-97.50747997
1963,other_fish,,325.84,99.37835879,296.4839742,-91.59718721
1977,other_fish,,495.35,153.8477807,470.3713891,21.38722799
1982,Adult_pollock,,244.22,33.0788879,230.0591832,-74.99010028
1983,Adult_pollock,,266.44,3.942884249,256.4293296,-72.25470232
1984,other_fish,,293.59,-25.83638973,282.4034344,-75.9824145
1985,other_fish,,315.61,-38.48687316,303.7069203,-76.74197302
1986,other_fish,,410.77,174.7543787,365.5351437,67.64634664
1986,other_fish,,329.48,-51.07311452,318.2375583,-68.38045756
1987,other_fish,,367.44,114.2173303,340.84293,76.10650669
1987,other_fish,,331.1,-69.68697777,321.5399577,-37.15431148
1988,other_fish,,346.86,-92.25756868,334.350259,2.838459845
1988,Adult_pollock,,376.15,76.3601407,352.1578797,107.9002072
1989,other_fish,,357.09,-104.9271858,341.282485,-5.683716074
1990,Adult_pollock,,447.24,7.181114051,430.4492512,121.1774376
1991,Adult_pollock,,465.45,-4.153886837,446.0164689,133.0339412
2037,other_fish,,297.18,-4.182541097,285.008734,-84.0745691
2038,Adult_pollock,,320.98,-16.51509131,310.1848537,-80.87296379
2039,Adult_pollock,,329,-12.62277366,316.6671027,-88.35330252
2040,other_fish,,341.22,-14.04301028,332.2979059,-76.25222148
2075,Adult_pollock,,287.17,5.582366893,278.65003,-69.2163634
2075,other_fish,,249.51,103.720566,220.7132969,-52.76657255
2076,Adult_pollock,19.68,273.96,63.04880817,248.8531432,-51.35791094
2076,other_fish,,315.41,-40.87213192,306.2089349,-63.6245256
2110,Adult_pollock,,272.42,22.15757224,257.9006706,-84.90553204
2111,Adult_pollock,16.4,267.29,2.740470492,258.1257255,-63.95964975
2112,Adult_pollock,,276.01,-14.49460021,263.8050969,-79.86430475
2114,Adult_pollock,,301.25,-30.76491263,285.58428,-90.7974973
2140,herring,,180.15,-3.63573133,171.3564867,-55.48594655
2141,Adult_pollock,,193.06,-17.14537265,181.7426971,-62.84433647
2143,other_fish,,238.92,-39.97927791,233.4551809,-31.355232
2177,other_fish,,309.94,-23.4072134,292.3404924,100.260956
2178,other_fish,,317.49,-36.4292684,299.0437287,100.2262893
2179,other_fish,,430.21,-7.945882195,429.8939121,14.34948981
2179,Adult_pollock,,230.56,-75.23486261,206.7622582,68.90444547
2180,Adult_pollock,,229.88,-73.89028548,216.2848461,24.56961787
2181,other_fish,,285.27,-83.48294742,269.0707098,44.86992931
2182,other_fish,,284.33,-105.3499231,264.091198,1.27764019
2182,other_fish,,275.57,119.0170682,246.4907419,31.90885191
2182,Adult_pollock,,128.1,54.90637864,115.7035465,2.61651487
2183,Adult_pollock,,120.74,50.65484504,108.813948,-13.06702044
2183,other_fish,,396.62,30.41609282,389.9246128,65.85710217
2184,Adult_pollock,,162.67,-18.05693654,160.6267236,18.28397029
2184,Adult_pollock,,136.27,58.499275,121.668767,-18.56463135
2184,other_fish,,316.06,-126.4378563,284.334831,-55.30068294
2185,Adult_pollock,,159.34,-38.8353703,151.4226265,-30.86237917
2185,Adult_pollock,,148.01,51.20648343,132.6654147,-41.04553632
2185,other_fish,,323.6,75.58818028,314.2690751,-15.45207796
2185,other_fish,,479.14,81.50431162,471.1205287,-31.30613167
2186,other_fish,,251.45,64.93102573,234.3724592,63.88554532
2186,other_fish,,330.61,72.37407767,318.8539708,-48.92917867
2186,other_fish,,406.34,102.5365159,384.8087951,80.76765581
2187,other_fish,,271.34,74.08075252,259.0569642,32.0256174
2187,other_fish,,408.71,129.7675307,385.3678443,41.18631094
2187,other_fish,,288.01,-79.20082791,271.4060378,54.92016153
2187,other_fish,,324.4,89.82081087,305.4816453,-62.04402445
2187,other_fish,,354.22,74.00722558,328.2697445,110.619513
2188,Adult_pollock,,317.92,-60.14699424,310.9738367,27.35404291
2188,other_fish,,356.34,92.01546777,334.0901774,83.03827269
2188,other_fish,,297.41,99.66597802,280.1760055,4.655015918
2189,Adult_pollock,,328.38,-55.69342603,323.5551141,-6.575353021
2189,other_fish,,330.78,104.4456692,312.4295692,-29.85135859
2189,other_fish,,356.35,103.5234777,337.8579028,46.07313771
2195,Adult_pollock,,169.67,32.61420663,159.6973646,47.13675572
2196,Adult_pollock,18,193.21,39.11988079,180.2469157,54.50204613
2198,Adult_pollock,,213.26,-4.799512117,201.3044578,70.22509963
2200,Adult_pollock,,190.22,-43.44353638,184.6123469,14.64336242
2200,other_fish,,293.77,-35.16976748,279.5724866,83.07431222
2200,other_fish,,402.49,-90.80133816,383.0920316,83.65088011
2201,Adult_pollock,18.99,198.96,-33.02863419,190.9953378,4.812913225
2201,other_fish,,315.15,-36.49268696,311.2811317,33.01877484
2201,other_fish,,376.67,63.59194056,366.6508204,58.35184075
2202,Adult_pollock,,198.61,-38.24526734,194.8515079,4.156839222
2202,other_fish,,356.36,-43.80710151,353.5192632,-10.03893158
2203,Adult_pollock,,208.27,-50.32014959,200.9458888,21.60655566
2203,other_fish,,312.72,-120.8315472,284.9927054,44.406265
2204,Adult_pollock,,223.2,-59.74682595,212.494451,33.08880489
2204,other_fish,,343.82,-117.544843,322.3616185,21.92039572
2204,other_fish,,451.55,124.0822321,433.9799847,-12.91603705
2205,other_fish,,371.54,-99.04576417,358.074565,-4.177038269
2207,Adult_pollock,24.53,249.8,-86.55412833,223.6617045,12.33843721
2216,other_fish,,324.13,54.53404112,312.0477162,68.668267
2217,other_fish,,256.82,89.31114694,240.655339,8.137290476
2217,other_fish,,348.95,35.97145114,328.3300252,112.5792208
2218,other_fish,,283.43,52.88269729,274.0015729,49.57904283
2219,Adult_pollock,,301.65,29.59164871,297.7405889,38.33210998
2220,other_fish,,327.3,42.81213443,323.1739476,-29.15468545
2221,other_fish,,293.06,-55.21345381,276.3091007,80.55483121
2225,other_fish,,284.61,81.92388913,269.1496804,42.99359906
2226,other_fish,,312.2,51.38123801,307.5744227,-15.00412184
2227,other_fish,,352.56,29.638276,345.4756036,-63.77716147
2227,other_fish,,394.52,-44.38247501,384.9259657,74.21045542
2228,Adult_pollock,18.23,281.48,-69.93911368,260.1231776,-17.54618447
2229,Adult_pollock,,279.76,-56.28252818,266.1337024,-65.36361863
2230,other_fish,,290.78,-37.40347567,275.3122204,-85.77298665
2229,other_fish,,365.23,-56.92958326,352.3714045,77.35437828
2232,other_fish,,329.36,8.36202344,318.3395452,-84.0641421
2232,other_fish,,440.84,152.4351322,411.4972036,42.13353486
2237,Adult_pollock,,294.96,-79.30315361,278.3246835,-56.98001929
2238,Adult_pollock,,308.72,-69.55543693,295.2428036,-57.45775504
2239,Adult_pollock,,316.51,-50.87347202,305.7582302,-64.03539936
2239,Adult_pollock,,318.78,-76.75080381,305.036495,51.79602565
2239,Adult_pollock,,391.83,-125.6503735,367.9545265,48.46596284
2239,other_fish,,461.79,129.9559914,434.3177304,87.91774102
2239,other_fish,,364.23,102.0667212,338.4056111,87.89466034
2239,other_fish,,388.52,-133.7097101,353.0644878,91.7186512
2239,other_fish,,401,-153.3527098,366.3795313,55.21549548
2240,other_fish,,400.68,-95.95955858,376.2281653,98.95723744
2240,other_fish,,351.81,-57.20936743,346.502988,20.79694709
2240,other_fish,,344.44,-20.63358643,338.5022623,-60.24616113
2241,other_fish,,376.94,-30.73065702,375.2893332,-17.22032241
2241,Adult_pollock,,406.96,-56.74315103,394.6569238,81.48950771
2241,other_fish,,340.1,10.69240711,326.5171738,94.55178881
2241,other_fish,,333.05,45.90410966,317.1307146,90.79661199
2241,other_fish,,255.95,16.27834309,250.6853071,-49.03314969
2242,other_fish,,406.91,5.894540618,401.3724829,-66.63207046
2242,other_fish,,259.12,7.827191315,251.5785401,-61.56058527
2242,other_fish,,363.21,37.19351359,358.8517902,41.99912372
2242,other_fish,,345.43,48.05124469,333.2605681,77.12427414
2242,other_fish,,398.25,-139.8740509,369.0913549,-52.98822706
2243,Adult_pollock,,249.02,11.41590303,246.1758686,-35.78352072
2243,Adult_pollock,,372.32,67.44380403,356.5018487,83.56441242
2243,other_fish,,392.92,65.47768297,386.5326906,26.34944085
2243,other_fish,,440.5,22.0822193,437.1191491,49.79500499
2243,other_fish,,411.27,-108.1417646,393.6189136,-50.16603643
2244,Adult_pollock,25.32,260.24,19.02564921,251.9142773,-9.150317631
2244,Adult_pollock,,188.01,-49.04449454,180.2410495,-21.3432814
2244,Adult_pollock,,279.82,-92.2034476,259.5201954,-49.4556219
2244,other_fish,,410.29,11.20275407,405.4162058,-62.06129802
2245,Adult_pollock,22.85,201.95,79.57911743,160.3223709,-21.84476343
2245,Adult_pollock,16.41,205.93,-39.67884401,200.1894006,21.03276316
2245,Adult_pollock,,258.56,2.763478019,256.4639491,32.74170059
2245,Adult_pollock,,281.78,-81.41148476,269.7518,-2.460945665
2245,Adult_pollock,,174.23,41.94216803,165.1377141,-36.39910635
2245,Adult_pollock,,240.55,-41.97552624,226.5700247,-69.05326422
2245,other_fish,,234.66,64.1667112,214.9600941,68.83309849
2245,other_fish,,374.24,55.83789086,353.1097742,110.6922447
2246,Adult_pollock,,135.8,19.67708489,127.7271904,41.72154985
2246,other_fish,,346.08,33.96877366,329.9117634,98.859835
2246,Adult_pollock,18.54,249,5.011712692,242.6559933,25.27679109
2246,Adult_pollock,,167.01,52.88391191,158.282,6.49617661
2246,other_fish,,345.8,77.32363452,332.9452869,52.41345329
2246,Adult_pollock,,230.15,64.54415256,213.1124859,58.20440035
2246,Adult_pollock,,274.45,-50.05249111,269.8320151,-2.441826884
2246,Adult_pollock,,292.89,-57.79372808,287.0601709,-6.567640526
2246,other_fish,,248.57,-5.909839377,234.9956881,-80.80626907
2246,other_fish,,270.59,-102.2559383,247.3901913,-39.53223898
2247,Adult_pollock,,216.02,60.16955485,202.5989901,44.68820946
2247,Adult_pollock,21.4,173.88,13.60095402,172.96326,-25.28144105
2247,Adult_pollock,,310.53,-33.45040595,308.4953013,-11.82648944
2247,other_fish,,240.84,-5.15188354,240.5542882,10.63872449
2247,other_fish,,355.4,107.0532309,338.7308042,-10.46701247
2247,other_fish,,285.04,-32.97371521,280.2091177,-40.534493
2247,other_fish,,323.9,114.8549471,295.665765,65.58465482
2247,Adult_pollock,,149.16,8.328950185,147.654698,19.42872657
2248,Adult_pollock,22.54,166.09,22.27852995,161.6277183,32.98116495
2248,Adult_pollock,,239.79,-11.45130782,237.2833828,32.65076843
2248,Adult_pollock,21.43,180.91,-9.979835707,181.7166904,-21.34611323
2248,Adult_pollock,,324.11,-70.80194718,310.3987163,-60.74077086
2248,Adult_pollock,,349.96,-4.986785478,349.7345181,11.40585202
2248,other_fish,,435.02,-144.4629031,410.2882446,6.324756735
2248,Adult_pollock,,207.94,73.13825234,184.7871035,61.19078916
2248,Adult_pollock,,157.88,67.31325791,141.6842791,17.86383711
2248,Adult_pollock,,233,-88.71268177,213.2917873,-30.43234087
2248,other_fish,,352.76,-61.18730079,328.3393252,113.523853
2249,Adult_pollock,,189.19,-27.37872397,187.161436,3.774517215
2249,Adult_pollock,,284.53,-86.69784573,268.6747735,-35.42292288
2249,Adult_pollock,,338.09,-44.16932562,328.456794,-66.87480982
2249,Adult_pollock,,140.84,53.94495896,123.9643241,-39.47091001
2249,Adult_pollock,,261.08,-23.4204583,250.3006447,70.45471664
2249,other_fish,,246.87,52.82678447,228.1631958,-78.07678355
2250,Adult_pollock,,141.58,53.07943787,130.9516924,-8.909459725
2250,Adult_pollock,,211.48,-58.62680123,198.0055068,45.62081063
2250,Adult_pollock,,277.32,-66.94380268,269.0021556,-7.959526907
2250,other_fish,,420.91,-59.79491136,414.2088398,44.97103327
2250,other_fish,,357.11,-20.79451227,352.7356464,-51.695721
2250,Adult_pollock,,337.38,-119.1174558,314.8198914,-22.86978559
2250,other_fish,,341.53,24.72209749,340.161063,-18.03050848
2250,other_fish,,275.31,72.47520628,264.5842668,-23.22901599
2251,Adult_pollock,21.13,156.58,62.96252189,129.9572644,-7.554025329
2251,Adult_pollock,,131.46,-23.19132747,121.8650102,-43.4929801
2251,other_fish,,355.65,-115.9060776,334.0243892,-38.46456903
2251,Adult_pollock,,238.57,-89.3152229,218.6397069,33.67610469
2251,other_fish,,357.35,-146.3038054,325.1682742,23.65660077
2251,other_fish,,387.84,-88.36787099,368.9156395,80.69321057
2252,Adult_pollock,,376.77,-83.55448196,362.9181953,57.15150657
2252,Adult_pollock,20.51,159.87,53.62565822,136.4125837,-32.32791092
2252,other_fish,,256.25,-53.31637697,238.3258436,-77.59412193
2252,other_fish,,373.77,126.6530205,351.5528058,8.645025071
2252,other_fish,,435.3,-30.30360695,433.8974179,17.33714655
2252,other_fish,,399.18,-113.0452414,369.6574749,99.60357455
2252,other_fish,,359.89,-127.538204,336.3420599,11.32909432
2253,Adult_pollock,,157.55,61.6943769,139.8124562,-38.31186968
2253,Adult_pollock,,357.07,75.14617639,348.3369668,22.58351045
2253,Adult_pollock,,387.44,-71.1304377,378.410132,43.08690048
2253,Adult_pollock,,257.64,-81.93475195,241.0618343,39.4230658
2253,Adult_pollock,21.26,225.81,-27.60725922,218.3569458,46.94857718
2253,Adult_pollock,,357.56,-61.09774361,347.2873444,59.20898704
2253,Adult_pollock,,543.48,-132.8990721,526.9709565,-2.522411613
2253,Adult_pollock,,258.23,-22.19493674,242.0619512,-87.1673095
2253,other_fish,,439.5,139.1862716,411.8393733,64.59416686
2254,Adult_pollock,,170.32,17.46048392,164.8300205,-39.19527096
2254,Adult_pollock,22.53,251.62,15.84199366,240.4284244,-51.58645242
2254,Adult_pollock,22.27,269.7,-53.94597838,252.2287414,23.82600625
2254,Adult_pollock,24.4,247.83,-5.387815391,250.4195292,37.91055509
2254,other_fish,,360.83,-131.5440041,332.6489981,47.31913639
2254,Adult_pollock,,402.83,-29.20198387,398.5303946,50.88952835
2254,other_fish,,351.71,-28.80555518,345.4192565,59.65601961
2254,other_fish,,459.82,-72.444463,453.5806071,21.33127093
2254,other_fish,,491.07,13.37895777,467.7790346,148.8388861
2254,other_fish,,404.01,-31.10374734,380.6421315,131.776712
2254,other_fish,,340.38,33.98099704,335.2776282,47.88632133
2254,other_fish,,410.48,35.590022,406.7164933,42.57806455
2254,other_fish,,391.53,22.78839874,389.5600677,31.92504924
2254,other_fish,,366.13,134.5880921,337.3341473,46.25863394
2255,Adult_pollock,19.07,182.75,33.2989664,176.3275281,7.199821403
2255,Adult_pollock,,261.8,5.959988961,257.1450862,48.79101727
2255,Adult_pollock,,304.99,-51.40822743,300.4185403,11.1458548
2255,Adult_pollock,19.06,137.01,-1.493727994,133.8149935,-35.83820072
2255,Adult_pollock,,168.62,27.75494152,158.6372854,-49.95830849
2255,Adult_pollock,,307.55,-93.10658478,292.8261166,-13.17146305
2255,Adult_pollock,,287.45,-89.49241312,268.0027457,52.83545862
2255,Adult_pollock,,516.36,49.36576619,504.6968892,97.34204188
2255,other_fish,,486.12,53.17963391,469.1850506,115.5548512
2255,other_fish,,323.73,91.08766001,310.1000304,-18.51374621
2255,other_fish,,488.7,-11.15593825,468.3591254,139.0846122
2255,other_fish,,442.59,-60.64585119,420.8519913,122.8446279
2255,other_fish,,378.36,-104.5640282,363.4059902,-12.45931407
2255,Adult_pollock,,265.4,28.44784255,263.7922954,-6.565877789
2255,other_fish,,461.58,-42.18202573,455.3255471,62.88854136
2255,other_fish,,249.32,-59.12191209,227.918458,-81.97264669
2256,Adult_pollock,,164.21,39.03146521,159.1047441,11.29378972
2256,Adult_pollock,,341.35,-100.9056686,326.0787532,3.420280045
2256,Adult_pollock,,333.1,-43.50900711,326.9993019,-46.18617964
2256,Adult_pollock,,163.2,0.075581842,160.2121917,-31.10509827
2256,other_fish,,338.13,-82.08528997,322.6316558,-59.19879695
2256,Adult_pollock,,283.59,24.23303766,282.5487156,0.427353013
2256,Adult_pollock,18.13,314.61,35.30155077,310.8004091,25.13788044
2256,Adult_pollock,,409.39,-64.83634127,403.9514515,-14.93741175
2256,other_fish,,322.18,-82.90588184,311.3305751,0.109546783
2256,other_fish,,391.18,131.5597039,356.2582983,93.78288996
2256,other_fish,,454.97,-41.03076519,446.3277338,78.12578673
2256,other_fish,,465.75,-136.6287537,431.3158962,110.5465089
2256,other_fish,,426.9,-143.1601404,386.1590946,112.3808056
2256,other_fish,,447.65,-62.86730778,430.747245,104.3753653
2256,other_fish,,338.53,-93.86493473,318.5713507,-65.61940658
2256,Adult_pollock,,304.95,6.39412518,291.7390368,88.55359571
2256,other_fish,,411.79,74.34789117,390.0654598,109.0383549
2256,other_fish,,449.13,92.30005586,439.4896424,-6.852987513
2256,other_fish,,446.89,9.76276795,446.7753285,-1.894764733
2257,other_fish,,226.06,-81.38139568,203.8624637,54.04942593
2257,other_fish,,335.09,-104.6185159,316.1678432,37.15454111
2257,other_fish,,429.86,-78.01854876,422.4306727,15.64066326
2257,other_fish,,342.98,-55.70026684,334.0438223,-54.30060713
2257,other_fish,,355.53,-81.20945292,340.5029556,-62.16534011
2257,other_fish,,348.02,-26.27469538,336.7176928,-83.93840106
2257,Adult_pollock,,168.52,54.95921496,158.884164,-11.57146703
2257,Adult_pollock,22.34,247.44,67.14017344,225.9474083,-46.51771548
2257,Adult_pollock,,419.91,112.4651221,402.8329371,37.47425197
2257,other_fish,,351.25,75.14632245,334.9267332,74.52177465
2257,Adult_pollock,,404.78,20.75240398,392.2143647,97.88262021
2257,Adult_pollock,,342.57,-10.83529923,333.6735567,76.80014231
2257,Adult_pollock,,298.84,32.34220481,296.9156711,10.11004006
2257,other_fish,,304,112.682932,281.8045939,-17.38770523
2257,Adult_pollock,,371.53,-29.01689001,356.8578169,99.21861958
2257,other_fish,,312.48,-45.26938895,292.6847839,99.64969238
2257,other_fish,,409.42,162.6179415,358.3679264,112.939245
2257,other_fish,,318.01,133.1560593,288.1223399,19.6517816
2257,Adult_pollock,,333.17,56.72909765,327.609448,-21.31718456
2257,Adult_pollock,,219.67,5.113040794,207.7177757,-71.28136136
2257,other_fish,,396.52,-160.8275795,359.3027848,47.55283684
2258,other_fish,,335.32,3.790492301,331.5586801,49.92699562
2258,Adult_pollock,,364.27,23.00460926,362.0602543,32.7712495
2258,other_fish,,391.16,95.84607776,378.7723303,18.81233849
2258,other_fish,,327.44,70.07896774,318.0519793,-33.88634464
2258,other_fish,,334.32,94.12346365,318.9447423,-34.45122503
2258,other_fish,,312.98,78.02832735,298.8297246,-50.67273638
2258,other_fish,,362.97,125.8772875,335.5028518,-57.79928487
2258,other_fish,,435.45,154.6787694,406.6331634,-18.5401251
2258,Adult_pollock,,260.66,-60.31980793,253.5647434,-2.862868538
2258,Adult_pollock,,291.9,-87.62322148,277.8497641,18.0347488
