SPECIES_GROUP,RANGE,ERROR,HX,HY,HZ
Sarsia sp,89.44,0.342620305,6.502853206,88.96969314,-6.495227065
Sarsia sp,57.73,0.993892576,12.0737698,56.06704217,-6.605993833
Sarsia sp,65.26,0.287722843,-0.981415672,61.95281023,-20.48878902
Sarsia sp,89.06,0.758940154,-7.190961313,84.48061531,27.25351988
Sarsia sp,95.69,0.32798702,-19.21760214,90.88554798,22.95088393
Sarsia sp,46.32,0.722617243,14.15311479,44.02870712,2.551010666
Sarsia sp,119.51,0.240531805,-2.286999866,115.0609008,-32.22065794
Sarsia sp,100.29,0.474275748,41.22842766,90.91335261,9.690916267
Sarsia sp,103.29,0.012310104,24.6613258,100.296848,-1.415427254
Sarsia sp,110.3,1.070614308,7.468457651,109.5033559,-10.94196312
Sarsia sp,91.97,0.21638931,-18.48855434,88.0889669,18.91241446
Sarsia sp,78.91,0.809346541,2.42019493,74.65920039,-25.4194298
Sarsia sp,52.13,2.054472186,9.840158715,49.455328,-13.22651281
Sarsia sp,63.75,0.842032001,10.19170748,62.92918605,-0.202190095
Sarsia sp,74.96,0.510724096,-6.701421933,74.39292445,-6.300593483
Sarsia sp,55.74,3.608437941,24.38323279,49.96891591,3.868011961
Sarsia sp,60.21,1.00612596,3.723322363,60.05748317,-2.089118793
Sarsia sp,55.33,2.167636585,22.00570535,50.10366347,-8.176805681
Sarsia sp,64.52,0.459652613,1.138660075,62.22994704,-16.99058698
Sarsia sp,107.55,0.130875693,0.904807903,105.6400816,20.16891416
Sarsia sp,120.17,0.363307174,-20.47395803,117.6302864,13.59584467
Sarsia sp,100.36,0.602528987,20.71449535,94.157248,27.88333558
Sarsia sp,40.25,1.677109288,8.868685095,37.16752144,12.65697082
Sarsia sp,68.61,10.21235724,16.87313428,65.39067023,12.11782295
Sarsia sp,61.92,0.474265482,20.66148945,58.36703111,-0.819448785
Sarsia sp,82.98,0.32747255,32.64764893,76.23230862,-2.795927069
Sarsia sp,89.47,0.269470631,19.28119524,84.34335645,22.8030385
Sarsia sp,49.46,1.196736971,1.61058106,48.36482016,10.21703964
Sarsia sp,42.82,2.756349803,16.3530863,38.39004647,9.629819982
Sarsia sp,48.24,1.211842062,1.839194088,47.60821101,7.576341789
Sarsia sp,75.64,10.4355908,0.234238873,71.20634893,25.5239073
Sarsia sp,84.17,0.00053892,-14.98409159,80.57134082,19.18975056
Sarsia sp,58.01,5.368354768,-13.35462855,56.39500681,2.622290245
Sarsia sp,49.34,0.434806983,21.16681872,44.56449266,0.200544532
Sarsia sp,53.49,0.2084256,5.900315221,53.06274774,-3.344208095
Sarsia sp,83.06,2.427266917,-14.33922517,77.96071839,24.80641433
Sarsia sp,62.4,0.610267084,-9.608406893,61.53279864,-3.823083231
Sarsia sp,77.05,0.746592025,33.13711853,69.55663643,-0.282861012
Sarsia sp,81.41,0.141263163,19.91413517,78.92973844,-1.321298426
Sarsia sp,89.4,0.750988916,5.547603471,89.16995646,-3.161841972
Sarsia sp,131.32,0.43310102,18.01647151,129.8603054,7.494084377
Sarsia sp,125.99,0.730815004,11.12040934,124.7945625,13.30120377
Sarsia sp,89.44,0.979741412,23.79447593,85.58013635,10.48788878
Sarsia sp,95.78,0.263779396,4.824550422,95.46513688,6.110430063
Sarsia sp,106.47,0.374093587,-15.70831155,105.2690279,2.59094593
Sarsia sp,48.01,2.54257278,15.6761302,44.89649462,-6.593318555
Sarsia sp,110.13,4.014199239,29.18563589,100.012254,35.6946062
Sarsia sp,114.11,0.096698144,10.82987109,110.0183238,28.2861163
Sarsia sp,56.68,1.740434317,-2.687232091,54.74190425,-14.44135194
Sarsia sp,122.41,0.022345069,-8.509864431,120.7942753,17.87958263
Sarsia sp,76.86,0.251516377,11.50699516,74.54821207,14.73083503
Sarsia sp,86.57,0.040769526,-9.446829784,85.82706953,6.239606265
Sarsia sp,59.08,0.820274317,20.04414275,55.56889336,-0.62264425
Sarsia sp,82.55,1.417831243,17.22860661,80.22985116,-9.002803496
Sarsia sp,77.81,1.082925212,-14.01423938,75.23835298,-14.05637948
Sarsia sp,71.9,2.986651231,11.13803928,67.16891342,23.10798763
Sarsia sp,77.49,0.841144153,-4.603769812,75.67096177,16.05419781
Sarsia sp,87.34,0.016251192,-21.60558967,84.49074061,4.685813859
Sarsia sp,97.64,0.110353089,13.85005809,96.63870958,-1.657023592
Sarsia sp,84.54,0.986184971,30.2804979,77.99507525,12.10923414
Sarsia sp,43,1.137735008,15.11232449,39.36378695,8.451968509
Sarsia sp,90.34,0.362067358,12.43303116,89.36520104,4.459799263
Sarsia sp,99.42,0.598058282,-4.0531039,99.23113359,-4.617654523
Sarsia sp,109.33,6.176648331,21.52031419,105.2317669,20.37614444
Sarsia sp,71.34,0.004912155,11.9475793,70.10242978,5.680826324
Sarsia sp,69.77,0.636084984,10.0203314,68.67153297,-7.21858469
Sarsia sp,67.57,0.28904379,1.208245366,65.54262776,16.3669379
Sarsia sp,52.72,1.384115486,4.525760315,50.81137972,-13.3140838
Sarsia sp,79.21,0.249240267,-16.24798093,76.77466024,10.77936819
Sarsia sp,84.21,0.329595953,16.92179813,80.41294692,18.38803376
Sarsia sp,89.82,0.630020675,1.534906773,89.35161588,9.074952757
Sarsia sp,99.12,0.654961474,-14.71985391,98.0158876,-0.922893833
Sarsia sp,82.89,3.856190725,28.64569796,74.09443687,23.6524353
Sarsia sp,87.43,0.512518053,8.11759693,84.83991018,19.51715527
Sarsia sp,97.28,0.0207301,-12.3467863,95.31999789,14.98594998
Sarsia sp,36.72,0.730958868,4.285540233,36.46962247,0.526746143
Sarsia sp,78.27,0.789048674,21.99742259,75.08244498,2.347215326
Sarsia sp,87.35,0.28878518,4.407097019,87.18400362,-3.002532365
Sarsia sp,72.23,3.012606685,10.7635771,67.56189496,23.15495517
Sarsia sp,81.07,0.163234069,-11.9142275,77.82118126,19.34414654
Sarsia sp,58.26,0.245335683,12.13631576,56.85378189,3.87396527
Sarsia sp,68.4,0.267888522,-7.644588258,67.89968367,-3.199078215
Sarsia sp,43.08,1.335183797,6.442242122,42.30320327,4.97604338
Sarsia sp,63.93,0.352706744,12.50095837,60.77655957,15.40463542
Sarsia sp,45.63,4.727827804,-5.992969467,43.74947367,11.49938266
Sarsia sp,74.69,0.336695825,-10.61170395,72.80041658,12.87452819
Sarsia sp,58.23,0.525364716,3.62446482,57.15971583,10.49149275
Sarsia sp,71.55,8.212024918,-19.92657319,68.64888814,3.055735768
Sarsia sp,99.57,0.453710545,22.11428535,96.85753773,-6.615835666
Sarsia sp,100.37,0.462473159,26.19232762,96.01150969,13.03522913
Sarsia sp,102.4,0.03799668,7.28519615,101.9904071,5.474933929
Sarsia sp,35.64,1.627338633,11.5501636,32.45866163,9.128150544
Sarsia sp,108.1,0.302342021,36.55610642,100.50318,15.75723706
Sarsia sp,113.8,0.02459302,17.19464375,112.0781293,9.662995304
Sarsia sp,87.4,1.30670657,23.7773634,83.50656436,-9.990782393
